name,value
median_markup,0.5521630771858472
median_profit,0.14262109079611784
mean_markup,0.05242492434619561
mean_profit,-1.30515952150497
agg_markup,0.47611759075338034
agg_profit,0.17607504691505813
entry_rate_5year,0.5752588620439362
entrant_stock_frac,0.21878343337491754
internal_cite_frac,0.0
ind_ptrans_mean,0.01770403847267356
ind_ptrans_std,0.06257390502622145
ptrans_3year,0.3350305773323635
trans_younger_prob,0.3085581639274533
trans_smaller_prob,0.3622093676628212
trans_young_frac,0.31976670021118875
trans_small_frac,0.1714597536603688
stock_young_frac,0.25182412570694596
stock_small_frac,0.14228887813793475
stock_lgrowth_mean,0.06365845417577234
stock_lgrowth_young,0.07860815206232505
stock_lgrowth_small,0.07625569803025888
employ_lgrowth_mean,0.04368569254713814
employ_lgrowth_young,0.07087904962063817
employ_lgrowth_small,0.06831438197004458
rnd_intensity_mean,0.06756522811973209
rnd_intensity_young,0.09939264633174033
rnd_intensity_small,0.08013101204184181
file_stock_mean,0.09609174387694519
file_stock_young,0.10428788820628246
file_stock_small,0.0978274067188545
