bin_min,bin_max,bin_mid,mass
0.0,0.06666666666666667,0.03333333333333333,0.0107095046854083
0.06666666666666667,0.13333333333333333,0.1,0.025881302989736725
0.13333333333333333,0.2,0.16666666666666669,0.035252119589468986
0.2,0.26666666666666666,0.23333333333333334,0.0464078536367693
0.26666666666666666,0.3333333333333333,0.3,0.06247211066488175
0.3333333333333333,0.4,0.3666666666666667,0.06291834002677377
0.4,0.4666666666666667,0.43333333333333335,0.060240963855421686
0.4666666666666667,0.5333333333333333,0.5,0.0535475234270415
0.5333333333333333,0.6,0.5666666666666667,0.04373047746541722
0.6,0.6666666666666666,0.6333333333333333,0.03792949576082106
0.6666666666666666,0.7333333333333333,0.7,0.03792949576082106
0.7333333333333333,0.8,0.7666666666666666,0.0285586791610888
0.8,0.8666666666666667,0.8333333333333334,0.03435966086568496
0.8666666666666667,0.9333333333333333,0.9,0.02186523873270861
0.9333333333333333,1.0,0.9666666666666667,0.020080321285140562
